ID,Federation,Form.Fed,Transfer Date,World Rank,National Rank,Name,Title,Rating
786527,AUT,HUN,2/25/16,35069.0,881.0,"Vicze, Kata",,1946.0
25007408,NZL,IND,2/20/16,58368.0,90.0,"Vinod, Kumar",,2033.0
1118080,CZE,POL,3/31/16,12540.0,241.0,"Worek, Joanna",Woman Grandmaster,2256.0
5301882,CAN,LBN,3/13/17,106745.0,858.0,"Abbas, Talal",,1930.0
7603053,FIN,SYR,3/6/17,293250.0,1165.0,"Al Argha, Fatima",,1661.0
7601433,FIN,SYR,3/6/17,72795.0,530.0,"Al Najar, Huda",,1798.0
4170539,TUR,RUS,3/28/17,102042.0,665.0,"Alexanian, Nelli",Woman Intl. Master,1938.0
14307405,NZL,RSA,3/7/17,236825.0,409.0,"Calitz, Hananke",,1740.0
2216477,SWE,EST,1/9/17,9480.0,186.0,"Golubenko, Valeriy",,2170.0
14104580,RUS,UKR,3/24/17,25625.0,4200.0,"Gordyk, Lubov",Woman FIDE Master,2166.0
14129418,RUS,UKR,4/11/17,46158.0,6850.0,"Illina, Natalia",Woman FIDE Master,2075.0
13603817,AUT,GEO,1/13/17,24900.0,588.0,"Kordzadze, Nino",,1998.0
3511723,ESP,FID,2/8/17,73468.0,6979.0,"Maceira Moya, Nery",,1796.0
921130,BIH,SRB,2/13/17,26325.0,162.0,"Mitrovic, Jovica",,1990.0
12501255,USA,FID,2/2/17,569.0,38.0,"Moradiabadi, Elshan",Grandmaster,2511.0
4413369,PAN,COL,1/9/17,45391.0,35.0,"Oquendo, Eder",,1902.0
46662464,USA,IND,2/14/17,81681.0,1379.0,"Bellayaru, Samarth",,1767.0
1628313,GER,AUT,1/9/17,7321.0,562.0,"Uksini, Bardhyl",,2313.0
5200393,SGP,PHI,1/11/17,3897.0,9.0,"Villamayor, Buenaventura",Grandmaster,2306.0
2002515,POL,USA,1/9/17,30426.0,868.0,"Weissbein, Thomas",,2142.0
407747,SCO,ENG,1/12/17,24600.0,65.0,"White, Stuart A",,2000.0
13900820,GER,FID,3/29/17,39501.0,4867.0,"Zilberman, Polina",Woman Intl. Master,2102.0
